#{"t_start": 1747792596.386986, "env_id": "None"}
r,l,t
59.500199,1,863.03536
60.084392,1,864.026018
57.886,1,864.89094
58.865132,1,865.84328
58.561641,1,866.725698
58.545592,1,867.80522
58.782617,1,868.646574
58.243221,1,869.504642
59.182801,1,870.496058
59.565995,1,871.480608
59.145936,1,872.321914
58.333804,1,873.313277
58.10077,1,874.189724
57.683528,1,875.200863
58.518626,1,876.04028
58.19165,1,877.011503
57.937428,1,877.887577
58.353571,1,878.723183
59.42321,1,879.71182
59.630964,1,880.688098
59.308501,1,881.543568
57.869215,1,882.528748
59.968924,1,883.389322
58.547928,1,884.227974
58.295119,1,885.222661
58.545613,1,886.220701
60.103325,1,887.206611
59.165891,1,888.185177
58.856553,1,889.041546
59.373804,1,890.02045
60.820045,1,890.851051
58.143981,1,891.706188
59.248156,1,892.678606
58.3274,1,893.680266
58.926028,1,894.531921
57.532255,1,895.535707
58.675835,1,896.39596
59.555608,1,897.38096
57.969164,1,898.245275
58.228815,1,899.255745
58.613629,1,900.101123
58.141399,1,900.9588
58.845916,1,901.975343
57.63688,1,902.95971
59.343689,1,903.801252
57.942025,1,904.771554
58.396552,1,905.61906
59.085241,1,906.480902
57.941782,1,907.47185
58.277099,1,908.46851
59.030359,1,909.310377
58.375383,1,910.30058
58.682532,1,911.14172
58.061769,1,912.190052
58.709871,1,913.293524
58.348132,1,914.384811
59.417912,1,915.588811
60.160923,1,916.607404
58.90579,1,917.46151
58.067868,1,918.502798
58.351132,1,919.392353
58.299104,1,920.405904
58.276516,1,921.283896
58.998389,1,922.273504
58.180671,1,923.142601
58.843036,1,923.984702
61.134425,1,924.97291
58.789078,1,925.985565
57.457646,1,926.840288
58.549735,1,927.851278
58.100896,1,928.720574
60.00829,1,929.569022
57.70939,1,930.554934
59.853875,1,931.546786
57.988041,1,932.447406
58.465752,1,933.456671
58.92247,1,934.341405
58.189274,1,935.367364
58.961171,1,936.232882
60.299494,1,937.086259
59.140948,1,938.069778
59.005916,1,939.056837
57.683695,1,939.91982
58.725495,1,940.918958
59.37402,1,941.788123
58.66714,1,942.795129
57.78845,1,943.623327
58.249829,1,944.609426
58.216544,1,945.477836
58.013402,1,946.367271
57.918981,1,947.334853
58.373769,1,948.31804
59.48597,1,949.156211
59.460398,1,950.121766
57.12494,1,950.954392
57.796536,1,951.826663
59.147858,1,952.790207
58.830145,1,953.755789
57.060081,1,954.629952
59.505098,1,955.629343
58.564121,1,956.465182
57.306482,1,957.469689
58.079587,1,958.316662
57.66152,1,959.203209
57.434995,1,960.196135
57.090291,1,961.181452
59.159676,1,962.046955
58.985399,1,963.021638
59.632352,1,963.856152
59.953523,1,964.806857
58.305191,1,965.651965
59.391988,1,966.639293
60.049489,1,967.499507
59.720564,1,968.357164
57.677282,1,969.363931
60.092251,1,970.338016
58.995204,1,971.180042
59.469495,1,972.149348
59.360774,1,973.001619
59.825315,1,973.853894
59.840585,1,974.807722
59.713356,1,975.776586
58.852074,1,976.636685
57.41475,1,977.638709
60.092255,1,978.476253
59.691005,1,979.449477
59.202927,1,980.288936
59.852987,1,981.146938
59.898809,1,982.090599
59.358973,1,983.065777
59.196882,1,983.896607
58.405307,1,984.879433
57.937764,1,985.720335
58.305958,1,986.697597
59.891092,1,987.520211
59.217462,1,988.524765
59.899217,1,989.388509
58.779116,1,990.229154
59.908214,1,991.229674
58.267731,1,992.237558
58.10316,1,993.068577
57.986448,1,994.060785
58.447478,1,995.072038
59.225717,1,995.906954
58.316894,1,996.879141
59.252149,1,997.931075
58.375535,1,998.771916
59.793155,1,999.77093
59.56555,1,1000.612788
60.291936,1,1001.591068
58.90924,1,1002.427318
58.011012,1,1003.288251
60.938458,1,1004.258464
60.790199,1,1005.236641
59.05475,1,1006.096398
60.30104,1,1007.112213
59.461154,1,1007.976851
59.469394,1,1008.933983
59.844198,1,1009.793338
59.612134,1,1010.779927
60.075848,1,1011.633218
59.14046,1,1012.49023
60.231618,1,1013.463697
61.153897,1,1014.421857
61.727807,1,1015.259981
60.130323,1,1016.236795
60.527062,1,1017.08252
59.305402,1,1017.92118
59.517775,1,1018.941897
59.43935,1,1019.972509
60.702951,1,1020.830503
59.957608,1,1021.84099
60.128595,1,1022.69371
59.414201,1,1023.679254
60.775461,1,1024.520321
59.797375,1,1025.396849
59.448237,1,1026.358174
60.051178,1,1027.306809
59.7037,1,1028.197369
59.649551,1,1029.167161
59.728757,1,1030.03496
60.168009,1,1031.037882
61.026482,1,1031.87808
60.247048,1,1032.901665
58.380083,1,1033.757777
60.556173,1,1034.666802
60.615446,1,1035.659385
59.822683,1,1036.625487
59.733852,1,1037.511162
59.105762,1,1038.495944
61.008729,1,1039.349234
58.158524,1,1040.18616
61.937883,1,1041.118932
59.483809,1,1042.097534
60.64337,1,1042.93612
59.780875,1,1043.915802
58.534965,1,1044.767648
59.567839,1,1045.740452
61.827446,1,1046.536419
58.633568,1,1047.354713
58.620787,1,1048.341706
59.601813,1,1049.329133
60.690679,1,1050.170773
59.974359,1,1051.152484
60.042615,1,1051.962511
60.32969,1,1052.94237
59.291307,1,1053.765892
60.219148,1,1054.737129
59.944359,1,1055.56634
59.045242,1,1056.384453
59.724696,1,1057.34576
59.423955,1,1058.336374
60.584076,1,1059.172221
59.522234,1,1060.152027
59.360484,1,1060.980477
58.624401,1,1061.833308
58.897717,1,1062.817731
60.491606,1,1063.76354
60.794359,1,1064.58044
60.966863,1,1065.547009
59.083612,1,1066.448602
61.120041,1,1067.471752
60.639132,1,1068.301131
60.112126,1,1069.161181
59.340689,1,1070.205545
59.806717,1,1071.191428
60.881209,1,1072.003388
59.397914,1,1072.975293
59.187937,1,1073.776187
59.287137,1,1074.777997
59.19512,1,1075.619124
60.31487,1,1076.597694
58.580431,1,1077.419967
60.138829,1,1078.266436
59.707365,1,1079.32891
60.174943,1,1080.461205
60.448979,1,1081.32102
59.334661,1,1082.337034
60.466265,1,1083.225575
59.75752,1,1084.085371
59.160654,1,1085.040006
57.995563,1,1086.075235
59.932327,1,1086.928914
60.019482,1,1087.906384
59.824991,1,1088.840129
58.428369,1,1089.888504
58.694082,1,1090.746889
59.729137,1,1091.597371
59.790518,1,1092.578244
58.665585,1,1093.571994
60.289346,1,1094.435641
59.739729,1,1095.430194
61.121596,1,1096.269968
61.017518,1,1097.281107
57.913506,1,1098.13258
60.660271,1,1099.155131
58.781182,1,1099.969155
59.158622,1,1100.817743
61.442552,1,1101.780744
58.171297,1,1102.778644
58.971642,1,1103.615143
59.653149,1,1104.620154
59.792337,1,1105.514898
59.131341,1,1106.373356
60.43894,1,1107.366721
